ID Compra,ID Item,Modalidade,Descrição do Item,Cód. Catálogo,Unidade Medida,Sigla Unidade Medida,Unidade Fornecimento,Sigla Unid. Fornecimento,Quantidade,Preço Unitário (R$),Fornecedor,Cód. UASG,UASG,Município,UF,Órgão,Data da Compra,Objeto da Compra,Descrição Detalhada
92918205900012025,10722194,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"149,00","4,84",ELIZABETE DE O BRITO PIRES  LTDA,929182,ASSOCIAÇAO A.E.E.NOSSA S.DO CARMO/ALIANÇA/TO,ALIANÇA DO TOCANTINS,TO,ASSOCIAÇAO A.E.E.NOSSA S.DO CARMO/ALIANÇA/TO,2026-06-03,"Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios  para atender as demandas da Associação de Apoio á Escola Estadual Nossa Senhora do Carmo, no ano 2026.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
98591905900152026,11820906,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"26.000,00","3,96",Z E S COMERCIAL LTDA,985919,PREFEITURA MUNICIPAL DE TRES RIOS - RJ,TRÊS RIOS,RJ,PREFEITURA MUNICIPAL DE TRES RIOS - RJ,2026-06-03,"Objeto: Pregão Eletrônico -  Registro de preços para aquisição de cestas básicas para atendimento de famílias em situação de vulnerabilidadesocial acompanhada pelos Centros de Referênciade Assistência Social (CRAS), bem como em situações de emergência e calamidade pública.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
92886505900042025,10478229,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"150,00","5,75",M & A COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,928865,ASSOCIAÇAO C.E.E.REGINA S.CAMPOS/N.ROSALANDIA,NOVA ROSALÂNDIA,TO,ASSOCIAÇAO C.E.E.REGINA S.CAMPOS/N.ROSALANDIA,2026-06-02,"Objeto: Pregão Eletrônico -  A aquisição de gêneros alimentícios para atender os estudantes matriculados na Escola Estadual Girassol de Tempo Integral Regina Siqueira Campos, conforme condições, quantidades e exigências estabelecidas neste Edital e do Termo de Referência.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
92918205900022025,7338213,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"90,00","8,75",SUPERMERCADO SAMILLA LTDA,929182,ASSOCIAÇAO A.E.E.NOSSA S.DO CARMO/ALIANÇA/TO,ALIANÇA DO TOCANTINS,TO,ASSOCIAÇAO A.E.E.NOSSA S.DO CARMO/ALIANÇA/TO,2026-06-01,Objeto: Pregão Eletrônico -  Aquisição de Gêneros Alimentícios para fornecimento de alimentação para estudantes matriculados na Unidade Escolar Nossa Senhora do Carmo.,"LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
92733705900182025,11780524,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"6.240,00","5,99",W & G ALIMENTOS LTDA,927337,PMPI-FUNDAÇÃO MUNICIPAL DE SAÚDE DE TERESINA,TERESINA,PI,PI - FUNDAÇÃO MUNICIPAL DE SAÚDE DE TERESINA,2026-06-01,"Objeto: Pregão Eletrônico -  Registro de Preços, pelo período de 1 (um) ano, podendo ser prorrogado por igual período, desde que comprovado o preço vantajoso, para futura e eventual aquisição de de materiais de consumo (Gêneros Alimentícios Não Perecíveis   Arroz, Açúcar, etc), a fim de atender às necessidades da Rede Hospitalar Municipal, incluindo HUT, Maternidade Municipal Wall Ferraz/Rede Cegonha, CAPS s/ResidênciaTerapêutica, SAMU, UBS e Setores Administrativos da Fundação Municipal de Saúde.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
15188905900072026,11623148,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"4.600,00","5,50",AGRO NEW COMERCIO E SERVICOS LTDA,151889,IF BAIANO - CAMPUS BOM JESUS DA LAPA,BOM JESUS DA LAPA,BA,"INST.FED.DE EDUC.,CIENC.E TEC.BAIANO",2026-05-26,Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios para o refeitório do InstitutoFederal Baiano - Campus Bom Jesus da Lapa.,"LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
98547505900242026,11733478,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"120,00","4,43",MERCADO AVENIDA LTDA,985475,PREFEITURA MUN DE FLOR DA SERRA DO SUL - PR,FLOR DA SERRA DO SUL,PR,PREFEITURA DE FLOR DA SERRA DO SUL - PR,2026-05-26,"Objeto: Pregão Eletrônico -  Registro de Preços para futura e eventual aquisição de gêneros alimentícios para atender as necessidades da Secretaria de Assistência Social, CRAS e demais Secretarias Municipais.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
98122305900012026,11101155,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"2.132,00","5,54",G F COMERCIAL LTDA,981223,PREFEITURA MUNICIPAL DE URUCUI - PI,URUÇUÍ,PI,PREFEITURA MUNICIPAL DE URUCUI - PI,2026-05-21,"Objeto: Pregão Eletrônico -  Contratação de empresas para aquisição de alimentos e produtos alimentícios para atender a alimentação escolar,visando suprir as necessidades de todas as escolas da rede municipal de URUÇUÍ/PI, nas condições estabelecidas no Termo de Referência-TR.","LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
92908305900112026,11468295,5,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,,QUILOGRAMA,KG,"95,00","7,99",DISTRIBUIDORA MATHEUS LTDA,929083,ETO-ASSOCIAÇAO A.E.E.BREJAO/BARRA DO OURO,BARRA DO OURO,TO,ETO-ASSOCIAÇÃO A.E.E.BREJAO/BARRA DO OURO,2026-05-21,Objeto: Pregão Eletrônico -  Aquisição de produtos alimentícios,"LEGUMINOSA, VARIEDADE FEIJÃO PRETO, TIPO TIPO 1, APRESENTAÇÃO ORGÂNICA"
93168206000022026,11704916,6,"LEGUMINOSA, VARIEDADE: FEIJÃO PRETO , TIPO: TIPO 1 , APRESENTAÇÃO: ORGÂNICA ",472894,,KG,EMBALAGEM,EMB,"50,00","10,00",ACC COMERCIAL E SOLUCOES LTDA,931682,EPB-CONSELHO E E 1 E 2 G GRACILIANO F. LORDAO,PEDRA LAVRADA,PB,EPB-CONSELHO E E 1 E 2 G GRACILIANO F. LORDAO,2026-05-25,"Aquisição de Gêneros Alimentícios para Alimentação Escolar para 185 alunos matriculados na Escola Cidadã Integral Graciliano Fontini Lordão, com alimentação de qualidade e com as condições técnicas apontadas pela Resoluções nº 06/2020 - FNDE- considerando o ano letivo de 2026","Leguminosa variedade: feijão preto, tipo: tipo 1, apresentação: orgânica"
