STATE,ROW_COUNT,DISTINCT_PURCHASE_COUNT,DISTINCT_SUPPLIER_COUNT,DISTINCT_CITY_COUNT,FIRST_PURCHASE_DATE,LAST_PURCHASE_DATE,TOTAL_QUANTITY_KG,TOTAL_PURCHASE,MIN_UNIT_PRICE,AVG_UNIT_PRICE,MEDIAN_UNIT_PRICE,MAX_UNIT_PRICE,UNIT_PRICE_RANGE_BRL,UNIT_PRICE_RANGE_LABEL
PR,62,53,46,29,2022-09-09,2026-05-19,3753578.00,20444798.3200,2.89,5.88467742,5.49500,14.89,12.00,2.89 - 14.89
SP,9,7,7,5,2024-06-14,2026-03-10,191481.00,1217740.8900,5.30,6.99333333,6.00000,14.83,9.53,5.30 - 14.83
RJ,31,19,18,6,2022-12-08,2026-06-03,182189.00,1003191.0500,3.70,16.14258065,7.00000,62.34,58.64,3.70 - 62.34
PB,21,19,11,8,2022-09-12,2025-10-01,126332.00,887053.7500,6.00,8.99904762,7.90000,14.40,8.40,6.00 - 14.40
RS,12,12,8,5,2022-08-01,2026-05-18,101441.00,668079.1800,4.98,8.14000000,8.28000,10.58,5.60,4.98 - 10.58
AM,10,6,9,3,2023-09-19,2026-05-13,77150.00,518140.0000,5.40,6.96200000,6.82000,8.90,3.50,5.40 - 8.90
PE,23,18,18,9,2023-04-13,2026-05-21,49228.00,360834.0500,4.60,7.35217391,7.99000,10.33,5.73,4.60 - 10.33
AC,8,7,6,2,2023-04-26,2025-12-16,42315.00,269871.7000,5.13,7.19125000,6.96500,9.00,3.87,5.13 - 9.00
PA,15,15,14,8,2022-11-01,2025-11-11,31394.00,247753.6500,5.40,8.01333333,7.60000,12.00,6.60,5.40 - 12.00
AL,3,3,3,3,2023-04-13,2025-10-16,26301.00,217393.7500,5.65,7.44666667,8.20000,8.49,2.84,5.65 - 8.49
PI,6,5,5,2,2023-02-17,2026-06-01,24194.00,170679.2200,5.30,7.39000000,7.62500,9.89,4.59,5.30 - 9.89
SC,9,9,8,6,2022-08-22,2026-05-18,20505.00,170278.2000,4.50,17.11777778,8.10000,78.40,73.90,4.50 - 78.40
MG,18,17,16,10,2022-07-29,2026-04-23,12956.00,112242.2000,4.85,8.29500000,8.72500,12.90,8.05,4.85 - 12.90
BA,12,12,11,8,2023-04-25,2026-05-26,13490.00,104318.8000,5.50,8.61416667,9.27500,10.50,5.00,5.50 - 10.50
TO,82,80,45,40,2022-08-24,2026-06-03,9752.00,84037.8100,4.84,8.37902439,8.20000,14.30,9.46,4.84 - 14.30
MA,6,5,6,4,2023-01-05,2025-04-03,5700.00,45625.0000,6.30,8.62833333,8.29500,12.00,5.70,6.30 - 12.00
CE,4,4,2,3,2022-12-21,2023-10-18,3824.00,34375.5600,8.18,8.65750000,8.63500,9.18,1.00,8.18 - 9.18
RN,2,2,1,1,2022-10-31,2022-11-22,4950.00,31848.0000,6.39,7.11500000,7.11500,7.84,1.45,6.39 - 7.84
AP,1,1,1,1,2025-07-23,2025-07-23,3130.00,20032.0000,6.40,6.40000000,6.40000,6.40,0.00,6.40 - 6.40
DF,1,1,1,1,2022-10-25,2022-10-25,2000.00,11760.0000,5.88,5.88000000,5.88000,5.88,0.00,5.88 - 5.88
RO,3,3,3,2,2023-06-13,2026-02-11,857.00,7280.6600,8.48,8.54333333,8.48000,8.67,0.19,8.48 - 8.67
MS,1,1,1,1,2025-11-24,2025-11-24,200.00,4000.0000,20.00,20.00000000,20.00000,20.00,0.00,20.00 - 20.00
SE,1,1,1,1,2026-01-16,2026-01-16,600.00,3960.0000,6.60,6.60000000,6.60000,6.60,0.00,6.60 - 6.60
MT,1,1,1,1,2023-08-28,2023-08-28,200.00,1900.0000,9.50,9.50000000,9.50000,9.50,0.00,9.50 - 9.50
RR,1,1,1,0,2025-02-20,2025-02-20,100.00,510.0000,5.10,5.10000000,5.10000,5.10,0.00,5.10 - 5.10
