SUPPLIER_NAME,ROW_COUNT,DISTINCT_PURCHASE_SUPPLIER,DISTINCT_STATE,FIRST_PURCHASE_DATE,LAST_PURCHASE_DATE,TOTAL_QUANTITY_KG_BY_SUPPLIER,TOTAL_PURCHASE_BY_SUPPLIER,MIN_PRICE,AVG_PRICE,MEDIAN_PRICE,MAX_PRICE,PRICE_RANGE_BRL,PRICE_RANGE_LABEL
BIORGANICA PRODUTOS ORGANICOS LTDA,2,2,2,2025-01-07,2025-01-24,315033.00,4689939.3900,14.83,14.86000000,14.86000,14.89,0.06,14.83 - 14.89
CEREALISTA AGRO B.K. LTDA,1,1,1,2023-10-31,2023-10-31,1000000.00,4650000.0000,4.65,4.65000000,4.65000,4.65,0.00,4.65 - 4.65
REDE COMPRE BEM LTDA,1,1,1,2026-04-30,2026-04-30,1000000.00,4000000.0000,4.00,4.00000000,4.00000,4.00,0.00,4.00 - 4.00
ALIMENTOS DE OURO LTDA,1,1,1,2026-04-30,2026-04-30,1000000.00,3500000.0000,3.50,3.50000000,3.50000,3.50,0.00,3.50 - 3.50
BIORGANICA PRODUTOS ORGANICOS LTDA - EM RECUPERACAO JUDICIAL,1,1,1,2026-05-19,2026-05-19,300000.00,3030000.0000,10.10,10.10000000,10.10000,10.10,0.00,10.10 - 10.10
GOMES E COSTA LTDA,6,5,1,2022-10-31,2024-09-19,111000.00,757790.0000,6.00,7.22333333,7.42000,7.90,1.90,6.00 - 7.90
CAMPO FINO INDUSTRIA COMERCIO IMPORTACAO E EXPORTACAO DE ALIMENTOS LTDA,2,1,1,2024-11-18,2024-11-18,80000.00,440000.0000,5.50,5.50000000,5.50000,5.50,0.00,5.50 - 5.50
COOPERATIVA DE PRODUCAO E CONSUMO FAMILIAR NOSSA TERRA LTDA,2,2,1,2022-08-01,2024-08-15,45600.00,318648.0000,6.94,8.76000000,8.76000,10.58,3.64,6.94 - 10.58
NUTRESSENCIAL ASSESSORIA E COMERCIO DE ALIMENTOS LTDA,2,1,1,2024-06-14,2024-06-14,50270.00,301620.0000,6.00,6.00000000,6.00000,6.00,0.00,6.00 - 6.00
MULTICOM COMERCIO MULTIPLO DE ALIMENTOS LTDA,1,1,1,2025-06-25,2025-06-25,40000.00,212000.0000,5.30,5.30000000,5.30000,5.30,0.00,5.30 - 5.30
"ATENDO DISTRIBUIDORA, ATACADISTA E SERVICOS SOCIEDADE UNIPESSOAL LTDA",1,1,1,2025-08-26,2025-08-26,46699.00,205475.6000,4.40,4.40000000,4.40000,4.40,0.00,4.40 - 4.40
M.J.A. COMERCIO ATACADISTA LTDA,1,1,1,2022-12-08,2022-12-08,38000.00,201020.0000,5.29,5.29000000,5.29000,5.29,0.00,5.29 - 5.29
CENTRAL METROPOLITANA DE COOPERATIVAS DA AGRICULTURA FAMILIAR LTDA,1,1,1,2025-06-27,2025-06-27,30000.00,173700.0000,5.79,5.79000000,5.79000,5.79,0.00,5.79 - 5.79
NS BARROS EMPREENDIMENTOS LTDA,2,1,1,2024-09-30,2024-09-30,25000.00,170000.0000,6.80,6.80000000,6.80000,6.80,0.00,6.80 - 6.80
Z E S COMERCIAL LTDA,2,2,1,2023-07-26,2026-06-03,31776.00,142814.4000,3.96,5.43000000,5.43000,6.90,2.94,3.96 - 6.90
COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TERRA LIVRE LTDA,1,1,1,2026-05-18,2026-05-18,20000.00,134000.0000,6.70,6.70000000,6.70000,6.70,0.00,6.70 - 6.70
AQUINO COMERCIO DE PERFUMARIA LTDA,5,5,1,2023-05-03,2025-09-04,29151.00,132888.7500,2.89,5.15200000,5.37000,7.50,4.61,2.89 - 7.50
PORTAL COMERCIO DE ALIMENTOS LTDA,1,1,1,2025-03-21,2025-03-21,15846.00,129937.2000,8.20,8.20000000,8.20000,8.20,0.00,8.20 - 8.20
M. M. BARROS,1,1,1,2024-09-30,2024-09-30,18750.00,126375.0000,6.74,6.74000000,6.74000,6.74,0.00,6.74 - 6.74
R. BISPO AGUIAR,2,1,1,2025-03-18,2025-03-18,18045.00,124512.3000,6.90,6.90500000,6.90500,6.91,0.01,6.90 - 6.91
COOPERATIVA DE PRODUTORES RURAIS BOM SUCESSO,1,1,1,2025-09-01,2025-09-01,17540.00,119973.6000,6.84,6.84000000,6.84000,6.84,0.00,6.84 - 6.84
PLANALTO COMERCIO E TRANSPORTES DE ALIMENTOS LTDA,2,2,1,2024-06-14,2025-05-09,17500.00,101150.0000,5.18,5.53000000,5.53000,5.88,0.70,5.18 - 5.88
BRASILUZ CONEXAO INTERLAGOS LTDA,1,1,1,2025-10-14,2025-10-14,26000.00,96200.0000,3.70,3.70000000,3.70000,3.70,0.00,3.70 - 3.70
SEMOG DISTRIBUIDORA DE ALIMENTOS E SERVICOS LTDA,6,3,1,2024-02-19,2025-07-11,3159.00,92295.1700,15.00,36.65500000,39.27500,62.34,47.34,15.00 - 62.34
CASA DE CARNE NA ROTA DO BOI LTDA,2,2,1,2025-03-18,2025-03-27,16908.00,87917.4000,5.13,6.07500000,6.07500,7.02,1.89,5.13 - 7.02
J.C.L DE MATOS LTDA,1,1,1,2023-04-13,2023-04-13,9995.00,84857.5500,8.49,8.49000000,8.49000,8.49,0.00,8.49 - 8.49
CAROATA ALIMENTOS COMERCIO VAREJISTA LTDA,2,1,1,2023-04-13,2023-04-13,9200.00,73508.0000,7.99,7.99000000,7.99000,7.99,0.00,7.99 - 7.99
57.898.592 CLAUDIO ROBERTO BATISTA DE LUCENA,1,1,1,2025-07-23,2025-07-23,8500.00,68000.0000,8.00,8.00000000,8.00000,8.00,0.00,8.00 - 8.00
CARLA TREVISOL - RESTAURANTE,2,2,1,2022-09-23,2026-05-04,12900.00,67086.0000,3.74,5.31000000,5.31000,6.88,3.14,3.74 - 6.88
ALBATROS SHIPPING SL,5,1,1,2025-07-11,2025-07-11,2631.00,66319.7600,10.50,26.62200000,19.85000,55.56,45.06,10.50 - 55.56
JULIANA ZANATTA FOSCHARINI,3,2,1,2024-06-14,2025-10-14,10500.00,58890.0000,4.98,5.42000000,4.98000,6.30,1.32,4.98 - 6.30
MARISOL COMERCIO ATACADISTA DE ALIMENTOS EM GERAL LTDA,2,2,1,2024-11-25,2025-05-23,9000.00,57000.0000,6.00,6.50000000,6.50000,7.00,1.00,6.00 - 7.00
INOVA ALIMENTOS LTDA,2,2,1,2022-11-01,2022-12-12,8400.00,54642.0000,6.05,6.50500000,6.50500,6.96,0.91,6.05 - 6.96
FORTE COMERCIO DE ALIMENTOS LTDA,1,1,1,2024-10-11,2024-10-11,6000.00,53880.0000,8.98,8.98000000,8.98000,8.98,0.00,8.98 - 8.98
S B PRODUTOS DE LIMPEZA LTDA,1,1,1,2024-01-25,2024-01-25,7250.00,52997.5000,7.31,7.31000000,7.31000,7.31,0.00,7.31 - 7.31
OTIS DISTRIBUICAO LTDA,4,4,1,2023-03-02,2025-10-16,9725.00,51733.2000,3.48,5.17250000,5.12500,6.96,3.48,3.48 - 6.96
MC COMERCIO DE ALIMENTOS E TRANSPORTES LTDA,2,2,2,2022-11-09,2025-08-29,990.00,49321.5000,5.85,42.12500000,42.12500,78.40,72.55,5.85 - 78.40
MULTINEGOCIOS JMC LTDA,1,1,1,2024-08-14,2024-08-14,8500.00,47600.0000,5.60,5.60000000,5.60000,5.60,0.00,5.60 - 5.60
SANTANA DISTRIBUIDORA LTDA,2,2,1,2023-02-17,2025-01-30,4900.00,46469.0000,7.40,8.64500000,8.64500,9.89,2.49,7.40 - 9.89
R S COMERCIO DE IMPORTADOS LTDA,1,1,1,2024-09-02,2024-09-02,6000.00,44700.0000,7.45,7.45000000,7.45000,7.45,0.00,7.45 - 7.45
ECONOMICO ALIMENTOS LTDA,1,1,1,2024-03-06,2024-03-06,4870.00,43830.0000,9.00,9.00000000,9.00000,9.00,0.00,9.00 - 9.00
THIAGO GOMES BARBOSA COMERCIO,4,4,1,2022-10-03,2024-10-30,4323.00,43456.7500,8.99,10.49000000,10.66000,11.65,2.66,8.99 - 11.65
PROSERV SERVICOS PROFISSIONAIS LTDA,1,1,1,2024-01-29,2024-01-29,7500.00,38400.0000,5.12,5.12000000,5.12000,5.12,0.00,5.12 - 5.12
ASSOCIACAO DE DESENVOLVIMENTO MUNICIPAL URBANO E RURAL DE TACAIMBO,1,1,1,2026-05-20,2026-05-20,4018.00,38291.5400,9.53,9.53000000,9.53000,9.53,0.00,9.53 - 9.53
F SANTOS,2,1,1,2025-10-14,2025-10-14,8500.00,37800.0000,3.80,6.55000000,6.55000,9.30,5.50,3.80 - 9.30
W & G ALIMENTOS LTDA,1,1,1,2026-06-01,2026-06-01,6240.00,37377.6000,5.99,5.99000000,5.99000,5.99,0.00,5.99 - 5.99
OSANA RAMOS DA SILVA DISTRIBUIDORA DE ALIMENTOS,1,1,1,2023-03-17,2023-03-17,6000.00,36480.0000,6.08,6.08000000,6.08000,6.08,0.00,6.08 - 6.08
KELSON OLIVEIRA COSTA URUCUI LTDA,1,1,1,2025-04-04,2025-04-04,4512.00,35689.9200,7.91,7.91000000,7.91000,7.91,0.00,7.91 - 7.91
COMERCIAL SUL CEARENSE DE ALIMENTOS LTDA,3,3,1,2022-12-21,2023-05-17,3820.00,34341.6000,8.18,8.71333333,8.78000,9.18,1.00,8.18 - 9.18
J J COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS LTDA,1,1,1,2024-09-30,2024-09-30,6250.00,33750.0000,5.40,5.40000000,5.40000,5.40,0.00,5.40 - 5.40
